id;logradouro;numero;complemento;bairro;cep
1;Computers Small Fresh Gloves back-end;interface;compress lavender Investment Account;backing up;Iran
2;Philippine Peso Metal;Strategist;card Licensed Cotton Ball;mindshare Gorgeous;Chips
3;navigating;Som Rustic Frozen Keyboard ROI;Benin;Tuna Response invoice;alarm Jamaica
4;system Gorgeous Rubber Pants;hack;leading-edge;Ergonomic Steel Gloves;Developer Shoes Music
5;Buckinghamshire Hollow Shoes;withdrawal Generic Frozen Tuna;Gorgeous Cotton Chair Personal Loan Account Borders;Norfolk Island Chilean Peso Unidades de fomento Checking Account;invoice Outdoors New York
6;multi-byte Jamaican Dollar North Carolina;Station;parsing Investment Account;Branding Dynamic black;yellow
7;Books Generic;robust withdrawal generate;Garden open-source hybrid;Solomon Islands Dollar;Personal Loan Account HTTP
8;schemas Specialist China;quantify multi-byte;interface Cotton Robust;user-centric Infrastructure;Managed Dobra application
9;Fantastic;Liechtenstein Buckinghamshire monetize;Direct;Small Frozen Salad bypassing;time-frame Quality
10;Borders Borders Practical;methodical;Pakistan;parse;neural Wooden Optimization
